factor_std,average,std,lower_bound,upper_bound,number_of_anomalies,anomaly_traces
1.0,5.22,1.38,3.84,6.6,11,"['daily.2019-07-16_19-14-01' 'daily.2019-09-11_05-40-02'
 'daily.2019-07-03_00-21-01' 'daily.2019-09-15_01-41-01'
 'daily.2019-07-29_16-03-01' 'daily.2019-09-06_20-34-01'
 'daily.2019-09-03_03-44-01' 'daily.2019-08-28_20-16-01'
 'daily.2019-07-01_10-28-01' 'daily.2019-09-09_01-34-02'
 'daily.2019-09-24_05-05-02']"
1.5,5.22,1.38,3.15,7.29,4,"['daily.2019-07-03_00-21-01' 'daily.2019-07-29_16-03-01'
 'daily.2019-09-06_20-34-01' 'daily.2019-09-09_01-34-02']"
2.25,5.22,1.38,2.12,8.32,3,"['daily.2019-07-29_16-03-01' 'daily.2019-09-06_20-34-01'
 'daily.2019-09-09_01-34-02']"
3.375,5.22,1.38,0.56,9.88,0,[]
5.0625,5.22,1.38,0.0,12.21,0,[]
7.59375,5.22,1.38,0.0,15.7,0,[]
11.390625,5.22,1.38,0.0,20.94,0,[]
17.0859375,5.22,1.38,0.0,28.8,0,[]
